Player,role
Henrikh Mkhitaryan,Midfielder
İlkay Gündoğan,Midfielder
Mats Hummels,Defender
Pierre-Emerick Aubameyang,Forward
Roman Weidenfeller,Goalkeeper
Marco Reus,Midfielder
Matthias Ginter,Defender
Gonzalo Castro,Forward
Julian Weigl,Midfielder
Shinji Kagawa,Midfielder
Adrián Ramos,Forward
Łukasz Piszczek,Defender
Neven Subotić,Defender
Sven Bender,Defender
Sokratis,Defender
Erik Durm,Defender
Marcel Schmelzer,Defender
Nuri Şahin,Midfielder
Christian Pulišić,Forward
Adnan Januzaj,Midfielder
Ju-ho Park,Midfielder
Roman Bürki,Goalkeeper
Moritz Leitner,Midfielder
Felix Passlack,Defender
