Player,role
Alexander Hack,Defender
Leon Balogun,Defender
Stefan Bell,Defender
Danny Latza,Midfielder
Karim Onisiwo,Forward
Julian Baumgartlinger,Midfielder
Gaëtan Bussmann,Defender
Loris Karius,Goalkeeper
Yunus Malli,Midfielder
Daniel Brosinski,Midfielder
Niko Bungert,Defender
Giulio Donati,Defender
Fabian Frei,Midfielder
Christian Clemens,Midfielder
Yoshinori Muto,Forward
Jhon Córdoba,Forward
Pablo De Blasis,Midfielder
Christoph Moritz,Midfielder
Pierre Bengtsson,Defender
Jairo Samperio,Midfielder
Maximilian Beister,Forward
Suat Serdar,Midfielder
Florian Niederlechner,Forward
Gonzalo Jara,Defender
Philipp Klement,Midfielder
