Player,role
John Brooks,Defender
Vedad Ibišević,Forward
Fabian Lustenberger,Defender
Sebastian Langkamp,Defender
Niklas Stark,Defender
Rune Jarstein,Goalkeeper
Tolga Ciğerci,Midfielder
Vladimír Darida,Midfielder
Florian Kohls,Midfielder
Genki Haraguchi,Midfielder
Per Ciljan Skjelbred,Midfielder
Marvin Plattenhardt,Defender
Salomon Kalou,Midfielder
Peter Pekarík,Defender
Mitchell Weiser,Midfielder
Maximilian Mittelstädt,Defender
Jens Hegeler,Midfielder
Alexander Baumjohann,Midfielder
Julian Schieber,Forward
Thomas Kraft,Goalkeeper
Johannes van den Bergh,Defender
Ronny,Midfielder
Valentin Stocker,Midfielder
Roy Beerens,Forward
