Player,role
Daniel Ginczek,Forward
Christian Gentner,Midfielder
Daniel Didavi,Midfielder
Mitchell Langerak,Goalkeeper
Lukas Rupp,Midfielder
Georg Niedermeier,Defender
Serey Dié,Midfielder
Arianit Ferati,Midfielder
Alexandru Maxim,Midfielder
Filip Kostić,Midfielder
Artem Kravets,Forward
Przemysław Tytoń,Goalkeeper
Federico Barba,Defender
Toni Šunjić,Defender
Timo Werner,Forward
Daniel Schwaab,Defender
Emiliano Insúa,Defender
Martin Harnik,Forward
Philip Heise,Defender
Florian Klein,Defender
Timo Baumgartl,Defender
Borys Tashchy,Forward
Adam Hloušek,Defender
Kevin Großkreutz,Defender
Jan Kliment,Forward
Matthias Zimmermann,Defender
Mart Ristl,Midfielder
Carlos Gruezo,Midfielder
Odysseas Vlachodimos,Goalkeeper
