Player,role
Tom Mickel,Goalkeeper
Lewis Holtby,Midfielder
Jaroslav Drobný,Goalkeeper
Cléber Reis,Defender
Emir Spahić,Defender
Aaron Hunt,Midfielder
Albin Ekdal,Midfielder
Pierre-Michel Lasogga,Forward
Johan Djourou,Defender
Ivo Iličević,Midfielder
René Adler,Goalkeeper
Matthias Ostrzolek,Defender
Marcelo Díaz,Midfielder
Michael Gregoritsch,Forward
Nicolai Müller,Midfielder
Gotoku Sakai,Defender
Gojko Kačar,Midfielder
Sven Schipplock,Forward
Gideon Jung,Defender
Dennis Diekmeier,Defender
Artjoms Rudņevs,Forward
Zoltán Stieber,Midfielder
Nabil Bahoui,Forward
Ivica Olić,Forward
Josip Drmić,Forward
Batuhan Altıntaş,Forward
Andreas Hirzel,Goalkeeper
