Player,role
Alexander Meier,Forward
Marc Stendera,Midfielder
Szabolcs Huszti,Midfielder
Marco Fabián,Midfielder
Lukáš Hrádecký,Goalkeeper
Luc Castaignos,Forward
Haris Seferović,Forward
Bastian Oczipka,Defender
Marco Russ,Defender
Makoto Hasebe,Defender
David Abraham,Defender
Stefan Reinartz,Midfielder
Carlos Zambrano,Defender
David Kinsombi,Midfielder
Stefan Aigner,Forward
Joel Gerezgiher,Midfielder
Aleksandar Ignjovski,Defender
Johannes Flum,Midfielder
Luca Waldschmidt,Forward
Slobodan Medojević,Midfielder
Constant Djakpa,Defender
Yanni Regäsel,Defender
Mijat Gaćinović,Midfielder
Sonny Kittel,Forward
Änis Ben-Hatira,Midfielder
Kaan Ayhan,Defender
Timothy Chandler,Midfielder
Václav Kadlec,Forward
Takashi Inui,Midfielder
