Player,role
Naldo,Defender
Ricardo Rodríguez,Defender
Vieirinha,Defender
Timm Klose,Defender
Ivan Perišić,Midfielder
Francisco Jose Rodriguez,Midfielder
Julian Draxler,Midfielder
Dante,Defender
Maximilian Arnold,Midfielder
Josuha Guilavogui,Midfielder
Bas Dost,Forward
Koen Casteels,Goalkeeper
Max Kruse,Forward
Andre Schürrle,Forward
Marcel Schäfer,Defender
Robin Knoche,Defender
Luiz Gustavo,Midfielder
Sebastian Jung,Defender
Christian Träsch,Midfielder
Daniel Caligiuri,Midfielder
Bruno Henrique,Forward
Diego Benaglio,Goalkeeper
Nicklas Bendtner,Forward
Carlos Ascues,Defender
Ismail Azzaoui,Forward
Paul Seguin,Midfielder
Leandro Putaro,Forward
Kevin De Bruyne,Midfielder
