Player,role
Daniel Baier,Midfielder
Caiuby,Midfielder
Koo Ja-Cheol,Midfielder
Marwin Hitz,Goalkeeper
Jeong-ho Hong,Defender
Ragnar Klavan,Defender
Alexander Esswein,Forward
Paul Verhaegh,Defender
Raúl Bobadilla,Forward
Jan-Ingwer Callsen-Bracker,Defender
Jeffrey Gouweleeuw,Defender
Tobias Werner,Midfielder
Konstantinos Stafylidis,Defender
Alfreð Finnbogason,Forward
Dominik Kohr,Midfielder
Philipp Max,Defender
Daniel Opare,Defender
Piotr Trochowski,Midfielder
Sascha Mölders,Forward
Halil Altintop,Midfielder
Tim Matavž,Forward
Markus Feulner,Midfielder
Dong-Won Ji,Forward
Christoph Janker,Defender
Albian Ajeti,Forward
Jan Morávek,Midfielder
Alex Manninger,Goalkeeper
