Player,role
Johannes Geis,Midfielder
Joël Matip,Defender
Leon Goretzka,Midfielder
Eric Maxim Choupo-Moting,Forward
Benedikt Höwedes,Defender
Roman Neustädter,Defender
Klaas-Jan Huntelaar,Forward
Ralf Fährmann,Goalkeeper
Younès Belhanda,Midfielder
Junior Caiçara,Defender
Pierre-Emile Højbjerg,Midfielder
Max Meyer,Midfielder
Sead Kolašinac,Defender
Dennis Aogo,Midfielder
Leroy Sané,Midfielder
Marco Höger,Midfielder
Franco Di Santo,Forward
Sidney Sam,Midfielder
Sascha Riether,Defender
Alessandro Schöpf,Midfielder
Matija Nastasić,Defender
