Player,role
Raffael,Forward
Granit Xhaka,Midfielder
Ibrahima Traoré,Forward
Mahmoud Dahoud,Midfielder
Lars Stindl,Midfielder
Tobias Sippel,Goalkeeper
Andreas Christensen,Defender
Håvard Nordtveit,Defender
André Hahn,Midfielder
Nico Elvedi,Defender
Thorgan Hazard,Midfielder
Jonas Hofmann,Midfielder
Oscar Wendt,Defender
Fabian Johnson,Midfielder
Tony Jantschke,Defender
Yann Sommer,Goalkeeper
Patrick Herrmann,Forward
Álvaro Domínguez,Defender
Martin Hinteregger,Defender
Roel Brouwers,Defender
Branimir Hrgota,Forward
Julian Korb,Midfielder
Marvin Schulz,Midfielder
Nico Schulz,Defender
Martin Stranzl,Defender
