Player,role
Oliver Baumann,Goalkeeper
Kevin Volland,Forward
Andrej Kramarić,Forward
Niklas Süle,Defender
Nadiem Amiri,Midfielder
Tobias Strobl,Midfielder
Eduardo Vargas,Forward
Ermin Bičakčić,Defender
Sebastian Rudy,Midfielder
Tarik Elyounoussi,Forward
Fabian Schär,Defender
Eugen Polański,Midfielder
Mark Uth,Midfielder
Pirmin Schwegler,Midfielder
Jin-su Kim,Defender
Jonathan Schmid,Midfielder
Steven Zuber,Midfielder
Pavel Kadeřábek,Defender
Jeremy Toljan,Defender
Russell Canouse,Midfielder
Phillipp Ochs,Midfielder
Kevin Kurányi,Forward
Jiloan Hamad,Midfielder
Jens Grahl,Goalkeeper
