Player,role
Pascal Groß,Midfielder
Danilo Soares,Defender
Benjamin Hübner,Defender
Tobias Levels,Defender
Markus Suttner,Defender
Roger Bernardo,Midfielder
Marvin Matip,Defender
Danny da Costa,Midfielder
Moritz Hartmann,Forward
Robert Bauer,Defender
Mathew Leckie,Midfielder
Darío Lezcano,Forward
Almog Cohen,Midfielder
Romain Brégerie,Defender
Konstantin Engel,Defender
Lukas Hinterseer,Forward
Ramazan Özcan,Goalkeeper
Max Christiansen,Midfielder
Stefan Lex,Forward
Tomáš Pekhart,Forward
Alfredo Morales,Midfielder
Elias Kachunga,Forward
Maurice Multhaup,Midfielder
Ørjan Nyland,Goalkeeper
Stefan Wannenwetsch,Midfielder
