Player,role
Papy Djilobodji,Defender
Zlatko Junuzović,Midfielder
Claudio Pizarro,Forward
Aron Jóhansson,Midfielder
Clemens Fritz,Midfielder
Philipp Bargfrede,Midfielder
Jannik Vestergaard,Defender
Santiago García,Defender
Anthony Ujah,Forward
Florian Grillitsch,Defender
Theodor Gebre Selassie,Defender
Fin Bartels,Midfielder
Alejandro Gálvez,Defender
Miloš Veljković,Defender
Assani Lukimya,Defender
Felix Kroos,Midfielder
Felix Wiedwald,Goalkeeper
Janek Sternberg,Defender
László Kleinheisler,Midfielder
Levin Öztunali,Midfielder
Lukas Fröde,Midfielder
Sambou Yatabaré,Midfielder
Maximilian Eggestein,Midfielder
Ulisses Garcia,Defender
Marcel Hilssner,Midfielder
Melvyn Lorenzen,Forward
Oliver Hüsing,Defender
Özkan Yıldırım,Midfielder
Leon Guwara,Defender
Luca Zander,Defender
