Player,role
Hakan Çalhanoğlu,Midfielder
Joel Pohjanpalo,Forward
Vladlen Yurchenko,Midfielder
Wendell,Defender
Javier Hernández,Forward
Kevin Kampl,Midfielder
Jonathan Tah,Defender
Julian Baumgartlinger,Midfielder
Lars Bender,Defender
Benjamin Henrichs,Midfielder
Ömer Toprak,Defender
Roberto Hilbert,Defender
Charles Aránguiz,Midfielder
Stefan Kießling,Forward
Aleksandar Dragović,Defender
Kai Havertz,Forward
Bernd Leno,Goalkeeper
Julian Brandt,Midfielder
Karim Bellarabi,Midfielder
Kevin Volland,Forward
Leon Bailey,Forward
Admir Mehmedi,Midfielder
Tin Jedvaj,Defender
Danny da Costa,Midfielder
