Player,role
Benjamin Hübner,Defender
Sebastian Rudy,Midfielder
Niklas Süle,Defender
Andrej Kramarić,Forward
Kevin Vogt,Defender
Steven Zuber,Midfielder
Kerem Demirbay,Midfielder
Oliver Baumann,Goalkeeper
Sandro Wagner,Forward
Mark Uth,Midfielder
Ermin Bičakčić,Defender
Ádám Szalai,Forward
Pavel Kadeřábek,Defender
Marco Terrazzino,Midfielder
Eugen Polański,Midfielder
Nadiem Amiri,Midfielder
Pirmin Schwegler,Midfielder
Lukas Rupp,Midfielder
Jeremy Toljan,Defender
Barış Atik,Forward
Fabian Schär,Defender
Eduardo Vargas,Forward
Phillipp Ochs,Midfielder
