Player,role
Philipp Wollscheid,Defender
Luiz Gustavo,Midfielder
Mario Gómez,Forward
Josuha Guilavogui,Midfielder
Ricardo Rodríguez,Defender
Robin Knoche,Defender
Julian Draxler,Midfielder
Christian Träsch,Midfielder
Maximilian Arnold,Midfielder
Jeffrey Bruma,Defender
Yunus Malli,Midfielder
Vieirinha,Defender
Jakub Błaszczykowski,Midfielder
Sebastian Jung,Defender
Yannick Gerhardt,Midfielder
Koen Casteels,Goalkeeper
Jannes Horn,Defender
Diego Benaglio,Goalkeeper
Bas Dost,Forward
Daniel Didavi,Midfielder
Paul Seguin,Midfielder
Riechedly Bazoer,Defender
Bruno Henrique,Forward
Borja Mayoral,Forward
Marcel Schäfer,Defender
Josip Brekalo,Forward
Paul-Georges Ntep,Midfielder
Victor Osimhen,Forward
Justin Möbius,Midfielder
Hendrik Hansen,Defender
