Player,role
Jannik Vestergaard,Defender
Raffael,Forward
Andreas Christensen,Defender
Mahmoud Dahoud,Midfielder
Lars Stindl,Midfielder
Ibrahima Traoré,Forward
László Bénes,Midfielder
Thorgan Hazard,Midfielder
Christoph Kramer,Midfielder
Tony Jantschke,Defender
Tobias Strobl,Midfielder
Fabian Johnson,Midfielder
Oscar Wendt,Defender
Nico Elvedi,Defender
Julian Korb,Midfielder
Nico Schulz,Defender
Yann Sommer,Goalkeeper
Jonas Hofmann,Midfielder
André Hahn,Midfielder
Patrick Herrmann,Forward
Ba-Muaka Simakala,Forward
Josip Drmić,Forward
Timothée Kolodziejczak,Midfielder
