Player,role
Emil Forsberg,Midfielder
Naby Keïta,Midfielder
Willi Orbán,Defender
Timo Werner,Forward
Fabio Coltorti,Goalkeeper
Diego Demme,Midfielder
Bernardo,Defender
Marvin Compper,Defender
Marcel Sabitzer,Midfielder
Stefan Ilsanker,Defender
Dayot Upamecano,Defender
Marcel Halstenberg,Defender
Yussuf Poulsen,Forward
Davie Selke,Forward
Benno Schmitz,Defender
Dominik Kaiser,Midfielder
Massimo Bruno,Midfielder
Péter Gulácsi,Goalkeeper
Federico Palacios,Midfielder
Rani Khedira,Midfielder
Oliver Burke,Forward
Lukas Klostermann,Defender
