Player,role
Max Kruse,Forward
Thomas Delaney,Midfielder
Zlatko Junuzović,Midfielder
Niklas Schmidt,Midfielder
Robert Bauer,Defender
Lamine Sané,Defender
Clemens Fritz,Midfielder
Niklas Moisander,Defender
Fin Bartels,Midfielder
Serge Gnabry,Midfielder
Thanos Petsos,Midfielder
Theodor Gebre Selassie,Defender
Philipp Bargfrede,Midfielder
Florian Grillitsch,Defender
Florian Kainz,Midfielder
Felix Wiedwald,Goalkeeper
Santiago García,Defender
Lennart Thy,Forward
Claudio Pizarro,Forward
Izet Hajrović,Forward
Maximilian Eggestein,Midfielder
Ousman Manneh,Forward
Miloš Veljković,Defender
Aron Jóhansson,Midfielder
Luca Caldirola,Defender
Jaroslav Drobný,Goalkeeper
Ulisses Garcia,Defender
Fallou Diagne,Defender
Janek Sternberg,Defender
Lukas Fröde,Midfielder
Sambou Yatabaré,Midfielder
