Player,role
Niklas Stark,Defender
Fabian Lustenberger,Defender
John Brooks,Defender
Sebastian Langkamp,Defender
Marvin Plattenhardt,Defender
Per Ciljan Skjelbred,Midfielder
Jens Hegeler,Midfielder
Vedad Ibišević,Forward
Ondrej Duda,Midfielder
Mitchell Weiser,Midfielder
Vladimír Darida,Midfielder
Allan,Midfielder
Rune Jarstein,Goalkeeper
Peter Pekarík,Defender
Julian Schieber,Forward
Salomon Kalou,Midfielder
Genki Haraguchi,Midfielder
Maximilian Mittelstädt,Defender
Valentin Stocker,Midfielder
Alexander Esswein,Forward
Jordan Torunarigha,Defender
Sami Allagui,Forward
Julius Kade,Midfielder
Florian Baak,Defender
