Player,role
David Abraham,Defender
Marco Fabián,Midfielder
Makoto Hasebe,Defender
Omar Mascarell,Midfielder
Jesús Vallejo,Defender
Marc Stendera,Midfielder
Bastian Oczipka,Defender
Szabolcs Huszti,Midfielder
Timothy Chandler,Midfielder
Alexander Meier,Forward
Mijat Gaćinović,Midfielder
Aymen Barkok,Midfielder
Anderson Ordóñez,Defender
Danny Blum,Forward
Guillermo Varela,Defender
Branimir Hrgota,Forward
Michael Hector,Defender
Marco Russ,Defender
Ante Rebić,Forward
Lukáš Hrádecký,Goalkeeper
Haris Seferović,Forward
Max Besuschkow,Midfielder
Marius Wolf,Defender
Heinz Lindner,Goalkeeper
Shani Tarashaj,Forward
Taleb Tawatha,Defender
