Player,role
Andreas Luthe,Goalkeeper
Raphael Framberger,Defender
Konstantinos Stafylidis,Defender
Daniel Baier,Midfielder
Jeffrey Gouweleeuw,Defender
Martin Hinteregger,Defender
Paul Verhaegh,Defender
Dominik Kohr,Midfielder
Gojko Kačar,Midfielder
Dong-Won Ji,Forward
Raúl Bobadilla,Forward
Philipp Max,Defender
Christoph Janker,Defender
Marwin Hitz,Goalkeeper
Caiuby,Midfielder
Alfreð Finnbogason,Forward
Jonathan Schmid,Midfielder
Koo Ja-Cheol,Midfielder
Markus Feulner,Midfielder
Halil Altintop,Midfielder
Georg Teigl,Midfielder
Jan Morávek,Midfielder
Moritz Leitner,Midfielder
Kevin Danso,Defender
Tim Rieder,Defender
Takashi Usami,Forward
Julian Günther-Schmidt,Forward
