Player,role
Sven Müller,Goalkeeper
Frederik Sørensen,Defender
Anthony Modeste,Forward
Jonas Hector,Defender
Lukas Klünter,Defender
Marcel Risse,Midfielder
Yuya Osako,Forward
Leonardo Bittencourt,Midfielder
Dominique Heintz,Defender
Paweł Olkowski,Midfielder
Timo Horn,Goalkeeper
Neven Subotić,Defender
Matthias Lehmann,Midfielder
Thomas Kessler,Goalkeeper
Marco Höger,Midfielder
Miloš Jojić,Midfielder
Christian Clemens,Midfielder
Artjoms Rudņevs,Forward
Dominic Maroh,Defender
Konstantin Rausch,Midfielder
Marcel Hartel,Midfielder
Simon Zoller,Forward
Filip Mladenović,Midfielder
Salih Özcan,Midfielder
Serhou Guirassy,Forward
