Player,role
Hamit Altıntop,Midfielder
Mario Vrančić,Midfielder
Florian Jungwirth,Defender
Jérôme Gondorf,Midfielder
Victor Obinna,Forward
Daniel Heuer Fernandes,Goalkeeper
Felix Platte,Forward
Markus Steinhofer,Defender
Aytaç Sulu,Defender
Peter Niemeyer,Defender
Fabian Holland,Midfielder
Alexander Milošević,Defender
Michael Esser,Goalkeeper
Patrick Banggaard,Defender
Immanuel Höhn,Defender
Sven Schipplock,Forward
Antonio Čolak,Forward
Roman Bezjak,Forward
Denys Oliynyk,Midfielder
Artem Fedetskyi,Defender
Benjamin Gorka,Defender
Leon Guwara,Defender
László Kleinheisler,Midfielder
Dominik Stroh-Engel,Forward
Sandro Sirigu,Defender
Jan Rosenthal,Midfielder
Terrence Boyd,Forward
Wilson Kamavuaka,Midfielder
Marcel Heller,Midfielder
Sidney Sam,Midfielder
Änis Ben-Hatira,Midfielder
