Player,role
Ousmane Dembélé,Forward
Pierre-Emerick Aubameyang,Forward
Sokratis,Defender
Marco Reus,Midfielder
Gonzalo Castro,Forward
Julian Weigl,Midfielder
Marc Bartra,Defender
Raphaël Guerreiro,Defender
Łukasz Piszczek,Defender
Andre Schürrle,Forward
Adrián Ramos,Forward
Shinji Kagawa,Midfielder
Sven Bender,Defender
Marcel Schmelzer,Defender
Matthias Ginter,Defender
Emre Mor,Midfielder
Roman Bürki,Goalkeeper
Erik Durm,Defender
Mikel Merino,Midfielder
Nuri Şahin,Midfielder
Christian Pulišić,Forward
Dženis Burnić,Midfielder
Sebastian Rode,Midfielder
Felix Passlack,Defender
Mario Götze,Forward
Ju-ho Park,Midfielder
Roman Weidenfeller,Goalkeeper
