Player,role
Thiago Alcântara,Midfielder
Arjen Robben,Midfielder
Robert Lewandowski,Forward
Arturo Vidal,Midfielder
Mats Hummels,Defender
Tom Starke,Goalkeeper
Xabi Alonso,Midfielder
Javi Martínez,Midfielder
Franck Ribéry,Midfielder
Philipp Lahm,Defender
Joshua Kimmich,Midfielder
David Alaba,Defender
Thomas Müller,Midfielder
Douglas Costa,Midfielder
Rafinha,Defender
Jérôme Boateng,Defender
Juan Bernat,Defender
Manuel Neuer,Goalkeeper
Kingsley Coman,Midfielder
Renato Sanches,Midfielder
Sven Ulreich,Goalkeeper
