Player,role
Kyriakos Papadopoulos,Defender
Mërgim Mavraj,Defender
Aaron Hunt,Midfielder
Walace,Midfielder
Lewis Holtby,Midfielder
Christian Mathenia,Goalkeeper
Matthias Ostrzolek,Defender
Vasilije Janjičić,Midfielder
Gotoku Sakai,Defender
Gideon Jung,Defender
Emir Spahić,Defender
Douglas Santos,Defender
Pierre-Michel Lasogga,Forward
Tom Mickel,Goalkeeper
Bakery Jatta,Forward
Michael Gregoritsch,Forward
Albin Ekdal,Midfielder
Luca Waldschmidt,Forward
Johan Djourou,Defender
Dennis Diekmeier,Defender
Nicolai Müller,Midfielder
Bobby Wood,Forward
René Adler,Goalkeeper
Nabil Bahoui,Forward
Filip Kostić,Midfielder
Alen Halilović,Midfielder
Cléber Reis,Defender
Ashton Götz,Defender
