Player,role
Ondrej Duda,Midfielder
Ellyes Skhiri,Midfielder
Jonas Hector,Defender
Sebastiaan Bornauw,Defender
Elvis Rexhbeçaj,Midfielder
Florian Kainz,Midfielder
Rafael Czichos,Defender
Sebastian Andersson,Forward
Max Meyer,Midfielder
Dominick Drexler,Midfielder
Kingsley Ehizibue,Defender
Jorge Meré,Defender
Ron-Robert Zieler,Goalkeeper
Noah Katterbach,Defender
Ismail Jakobs,Defender
Marius Wolf,Defender
Timo Horn,Goalkeeper
Jannes Horn,Defender
Benno Schmitz,Defender
Dimitris Limnios,Midfielder
Emmanuel Dennis,Forward
Tolu Arokodare,Forward
Jan Thielmann,Midfielder
Salih Özcan,Midfielder
Marco Höger,Midfielder
Sava Arangel Čestić,Defender
Frederik Sørensen,Defender
Anthony Modeste,Forward
