Player,role
Ludwig Augustinsson,Defender
Niclas Füllkrug,Forward
Josh Sargent,Forward
Maximilian Eggestein,Midfielder
Leonardo Bittencourt,Midfielder
Theodor Gebre Selassie,Defender
Jiří Pavlenka,Goalkeeper
Milot Rashica,Midfielder
Ömer Toprak,Defender
Kevin Möhwald,Midfielder
Marco Friedl,Defender
Miloš Veljković,Defender
Felix Agu,Midfielder
Niklas Moisander,Defender
Christian Groß,Midfielder
Davie Selke,Forward
Yuya Osako,Forward
Romano Schmid,Midfielder
Tahith Chong,Midfielder
Nick Woltemade,Forward
Johannes Eggestein,Forward
Jean-Manuel Mbom,Midfielder
Philipp Bargfrede,Midfielder
Patrick Erras,Midfielder
Davy Klaassen,Midfielder
Eren Dinkçi,Midfielder
