Player,role
Jonas Hofmann,Midfielder
Rocco Reitz,Midfielder
Lars Stindl,Midfielder
Nico Elvedi,Defender
Matthias Ginter,Defender
Florian Neuhaus,Midfielder
Jordan Beyer,Defender
Alassane Pléa,Midfielder
Tobias Sippel,Goalkeeper
Marcus Thuram,Forward
Ramy Bensebaini,Defender
Christoph Kramer,Midfielder
Stefan Lainer,Defender
Breel Embolo,Forward
Patrick Herrmann,Forward
Denis Zakaria,Midfielder
Valentino Lazaro,Midfielder
Ibrahima Traoré,Forward
Yann Sommer,Goalkeeper
Tony Jantschke,Defender
Oscar Wendt,Defender
Hannes Wolf,Midfielder
