Player,role
Leon Bailey,Forward
Edmond Tapsoba,Defender
Exequiel Palacios,Midfielder
Julian Baumgartlinger,Midfielder
Kerem Demirbay,Midfielder
Moussa Diaby,Midfielder
Lars Bender,Defender
Lennart Grill,Goalkeeper
Lucas Alario,Forward
Aleksandar Dragović,Defender
Patrik Schick,Forward
Tin Jedvaj,Defender
Florian Wirtz,Midfielder
Nadiem Amiri,Midfielder
Jonathan Tah,Defender
Charles Aránguiz,Midfielder
Daley Sinkgraven,Defender
Demarai Gray,Forward
Santiago Arias,Defender
Timothy Fosu-Mensah,Defender
Lukáš Hrádecký,Goalkeeper
Karim Bellarabi,Midfielder
Wendell,Defender
Sven Bender,Defender
Mitchell Weiser,Midfielder
Paulinho,Forward
Jeremie Frimpong,Defender
Emrehan Gedikli,Forward
Niklas Lomb,Goalkeeper
