Player,role
Blendi Idrizi,Midfielder
Ralf Fährmann,Goalkeeper
Shkodran Mustafi,Defender
Amine Harit,Forward
Frederik Rønnow,Goalkeeper
Salif Sané,Defender
Mark Uth,Midfielder
Matthew Hoppe,Forward
Omar Mascarell,Midfielder
Suat Serdar,Midfielder
Malick Thiaw,Defender
Gonçalo Paciência,Forward
Benjamin Stambouli,Midfielder
Matija Nastasić,Defender
Klaas-Jan Huntelaar,Forward
Mehmet Aydın,Midfielder
Sead Kolašinac,Defender
Benito Raman,Forward
Florian Flick,Midfielder
William,Midfielder
Ahmed Kutucu,Forward
Ozan Kabak,Defender
Nassim Boujellab,Midfielder
Henning Matriciani,Defender
Jan Luca Schuler,Forward
Hamza Mendyl,Defender
Steven Skrzybski,Forward
Timo Becker,Defender
Bastian Oczipka,Defender
Can Bozdoğan,Midfielder
Michael Langer,Goalkeeper
Nabil Bentaleb,Midfielder
Jimmy Kaparos,Midfielder
Kilian Ludewig,Defender
Kerim Çalhanoğlu,Defender
Vedad Ibišević,Forward
Alessandro Schöpf,Midfielder
Rabbi Matondo,Forward
