Player,role
Fabian Bredlow,Goalkeeper
Nicolás González,Forward
Saša Kalajdžić,Forward
Borna Sosa,Defender
Silas Katompa Mvumpa,Forward
Marc-Oliver Kempf,Defender
Wataru Endo,Midfielder
Gonzalo Castro,Forward
Konstantinos Mavropanos,Defender
Daniel Didavi,Midfielder
Gregor Kobel,Goalkeeper
Philipp Klement,Midfielder
Waldemar Anton,Defender
Orel Mangala,Midfielder
Philipp Förster,Midfielder
Erik Thommy,Midfielder
Marcin Kamiński,Defender
Mateo Klimowicz,Midfielder
Atakan Karazor,Midfielder
Pascal Stenzel,Defender
Tanguy Coulibaly,Midfielder
Roberto Massimo,Midfielder
Darko Churlinov,Midfielder
Luca Mack,Midfielder
Momo Cissé,Forward
Hamadi Al Ghaddioui,Forward
Mohamed Sankoh,Forward
Lilian Egloff,Forward
Naouirou Ahamada,Midfielder
