Player,role
Vincenzo Grifo,Midfielder
Florian Müller,Goalkeeper
Mark Flekken,Goalkeeper
Christian Günter,Defender
Roland Sallai,Midfielder
Nicolas Höfler,Midfielder
Ermedin Demirović,Forward
Jonathan Schmid,Midfielder
Lucas Höler,Forward
Keven Schlotterbeck,Defender
Dominique Heintz,Defender
Baptiste Santamaria,Midfielder
Philipp Lienhart,Defender
Manuel Gulde,Defender
Woo-Yeong Jeong,Midfielder
Lukas Kübler,Defender
Nils Petersen,Forward
Yannik Keitel,Midfielder
Nishan Burkart,Midfielder
Lino Tempelmann,Midfielder
Janik Haberer,Midfielder
Chang-Hoon Kwon,Midfielder
Amir Abrashi,Midfielder
Guus Til,Midfielder
