Player,role
Maximilian Arnold,Midfielder
Wout Weghorst,Forward
Pavao Pervan,Goalkeeper
Maxence Lacroix,Defender
Renato Steffen,Midfielder
Xaver Schlager,Midfielder
Josip Brekalo,Forward
John Brooks,Defender
Paulo Otávio,Defender
Koen Casteels,Goalkeeper
Ridle Baku,Defender
Marin Pongračić,Defender
Josuha Guilavogui,Midfielder
Kevin Mbabu,Defender
Maximilian Philipp,Forward
Yannick Gerhardt,Midfielder
Admir Mehmedi,Midfielder
Jérôme Roussillon,Midfielder
Bartosz Białek,Forward
Tim Siersleben,Defender
Felix Klaus,Midfielder
Victor Sá,Midfielder
Daniel Ginczek,Forward
Yunus Malli,Midfielder
