Player,role
Robert Lewandowski,Forward
Joshua Kimmich,Midfielder
Thomas Müller,Midfielder
Tiago Dantas,Midfielder
Serge Gnabry,Midfielder
Leon Goretzka,Midfielder
Josip Stanišić,Defender
Niklas Süle,Defender
Kingsley Coman,Midfielder
Lucas Hernández,Defender
David Alaba,Defender
Benjamin Pavard,Defender
Jérôme Boateng,Defender
Leroy Sané,Midfielder
Manuel Neuer,Goalkeeper
Eric Maxim Choupo-Moting,Forward
Jamal Musiala,Midfielder
Douglas Costa,Midfielder
Javi Martínez,Midfielder
Alphonso Davies,Defender
Corentin Tolisso,Midfielder
Joshua Zirkzee,Forward
Bouna Sarr,Defender
Marc Roca,Midfielder
Christopher Scott,Midfielder
Tanguy Nianzou,Defender
Alexander Nübel,Goalkeeper
Michaël Cuisance,Midfielder
