Player,role
Felix Uduokhai,Defender
Daniel Caligiuri,Midfielder
Rafał Gikiewicz,Goalkeeper
André Hahn,Midfielder
Florian Niederlechner,Forward
Jeffrey Gouweleeuw,Defender
Reece Oxford,Defender
Iago,Defender
László Bénes,Midfielder
Ruben Vargas,Midfielder
Michael Gregoritsch,Forward
Carlos Gruezo,Midfielder
Rani Khedira,Midfielder
Marek Suchý,Defender
Marco Richter,Midfielder
Mads Pedersen,Defender
Tobias Strobl,Midfielder
Raphael Framberger,Defender
Tim Civeja,Midfielder
Alfreð Finnbogason,Forward
Fredrik Jensen,Midfielder
Robert Gumny,Defender
Jan Morávek,Midfielder
Noah Joel Sarenren Bazee,Forward
