Player,role
Christopher Nkunku,Forward
Angeliño,Midfielder
Willi Orbán,Defender
Marcel Sabitzer,Midfielder
Dayot Upamecano,Defender
Dani Olmo,Forward
Marcel Halstenberg,Defender
Emil Forsberg,Midfielder
Amadou Haidara,Midfielder
Alexander Sørloth,Forward
Nordi Mukiele,Defender
Yussuf Poulsen,Forward
Tyler Adams,Midfielder
Kevin Kampl,Midfielder
Péter Gulácsi,Goalkeeper
Lukas Klostermann,Defender
Benjamin Henrichs,Midfielder
Ibrahima Konaté,Defender
Lazar Samardžić,Midfielder
Justin Kluivert,Midfielder
Joscha Wosz,Midfielder
Hee-Chan Hwang,Forward
Dennis Borkowski,Forward
Josep Martínez,Goalkeeper
Konrad Laimer,Midfielder
