Player,role
Alexander Hack,Defender
Stefan Bell,Defender
Jean-Paul Boëtius,Midfielder
Jeremiah St. Juste,Defender
Robin Zentner,Goalkeeper
Leandro Barreiro,Midfielder
Kevin Stöger,Midfielder
Dominik Kohr,Midfielder
Edimilson Fernandes,Midfielder
Moussa Niakhaté,Defender
Danny da Costa,Midfielder
Phillipp Mwene,Defender
Jean-Philippe Mateta,Forward
Levin Öztunali,Midfielder
Robin Quaison,Forward
Jonathan Burkardt,Forward
Danny Latza,Midfielder
Daniel Brosinski,Midfielder
Luca Kilian,Defender
Karim Onisiwo,Forward
Robert Glatzel,Forward
Aarón Martín,Midfielder
Niklas Tauer,Midfielder
Pierre Kunde,Midfielder
Paul Nebel,Midfielder
Dong-Won Ji,Forward
Ádám Szalai,Forward
Issah Abass,Forward
Finn Gilbert Dahmen,Goalkeeper
