Player,role
Amos Pieper,Defender
Stefan Ortega,Goalkeeper
Joakim Nilsson,Defender
Ritsu Doan,Midfielder
Fabian Klos,Forward
Cedric Brunner,Defender
Marcel Hartel,Midfielder
Masaya Okugawa,Midfielder
Jacob Laursen,Defender
Mike van der Hoorn,Defender
Andreas Voglsammer,Forward
Michel Vlap,Midfielder
Manuel Prietl,Midfielder
Anderson-Lenda Lucoqui,Defender
Arne Maier,Midfielder
Nils Seufert,Midfielder
Sven Schipplock,Forward
Jóan Edmundsson,Forward
Fabian Kunze,Midfielder
Sergio Córdova,Forward
Christian Gebauer,Midfielder
Cebio Soukou,Midfielder
Brian Behrendt,Defender
Reinhold Yabo,Midfielder
Nathan De Medina,Defender
