Player,role
Max Kruse,Forward
Zlatko Junuzović,Midfielder
Thomas Delaney,Midfielder
Lamine Sané,Defender
Jiří Pavlenka,Goalkeeper
Niklas Moisander,Defender
Florian Kainz,Midfielder
Philipp Bargfrede,Midfielder
Ludwig Augustinsson,Defender
Fin Bartels,Midfielder
Ishak Belfodil,Forward
Sebastian Langkamp,Defender
Miloš Veljković,Defender
Luca Caldirola,Defender
Theodor Gebre Selassie,Defender
Milot Rashica,Midfielder
Robert Bauer,Defender
Maximilian Eggestein,Midfielder
Aron Jóhansson,Midfielder
Marco Friedl,Defender
Johannes Eggestein,Forward
Izet Hajrović,Forward
Ulisses Garcia,Defender
Ole Käuper,Midfielder
Jérôme Gondorf,Midfielder
