Player,role
Leon Bailey,Forward
Lars Bender,Defender
Sven Bender,Defender
Lucas Alario,Forward
Julian Brandt,Midfielder
Charles Aránguiz,Midfielder
Jonathan Tah,Defender
Kai Havertz,Forward
Julian Baumgartlinger,Midfielder
Wendell,Defender
Kevin Volland,Forward
Panagiotis Retsos,Defender
Karim Bellarabi,Midfielder
Dominik Kohr,Midfielder
Bernd Leno,Goalkeeper
Tin Jedvaj,Defender
Benjamin Henrichs,Midfielder
Joel Pohjanpalo,Forward
André Ramalho,Defender
Stefan Kießling,Forward
Ramazan Özcan,Goalkeeper
Aleksandar Dragović,Defender
