Player,role
Dominic Maroh,Defender
Jonas Hector,Defender
Miloš Jojić,Midfielder
Marcel Risse,Midfielder
Frederik Sørensen,Defender
Jorge Meré,Defender
Simon Terodde,Forward
Chris Führich,Midfielder
Dominique Heintz,Defender
Serhou Guirassy,Forward
Timo Horn,Goalkeeper
Leonardo Bittencourt,Midfielder
Salih Özcan,Midfielder
Claudio Pizarro,Forward
Tim Handwerker,Defender
Matthias Lehmann,Midfielder
Konstantin Rausch,Midfielder
Yuya Osako,Forward
Vincent Koziello,Midfielder
Jannes Horn,Defender
Paweł Olkowski,Midfielder
Simon Zoller,Forward
Jhon Córdoba,Forward
Marco Höger,Midfielder
Yann Bisseck,Defender
Christian Clemens,Midfielder
Lukas Klünter,Defender
Nikolas Nartey,Midfielder
Filip Kusić,Defender
Birk Risa,Defender
Anas Ouahim,Midfielder
