Player,role
Thomas Kraft,Goalkeeper
Niklas Stark,Defender
Marvin Plattenhardt,Defender
Fabian Lustenberger,Defender
Davie Selke,Forward
Peter Pekarík,Defender
Maximilian Mittelstädt,Defender
Per Ciljan Skjelbred,Midfielder
Vladimír Darida,Midfielder
Jordan Torunarigha,Defender
Karim Rekik,Defender
Arne Maier,Midfielder
Salomon Kalou,Midfielder
Vedad Ibišević,Forward
Valentino Lazaro,Midfielder
Mitchell Weiser,Midfielder
Alexander Esswein,Forward
Rune Jarstein,Goalkeeper
Mathew Leckie,Midfielder
Genki Haraguchi,Midfielder
Valentin Stocker,Midfielder
Ondrej Duda,Midfielder
Palkó Dárdai,Forward
Julian Schieber,Forward
