Player,role
Serge Gnabry,Midfielder
Benjamin Hübner,Defender
Andrej Kramarić,Forward
Mark Uth,Midfielder
Robin Hack,Midfielder
Florian Grillitsch,Defender
Kevin Vogt,Defender
Kerem Demirbay,Midfielder
Håvard Nordtveit,Defender
Ádám Szalai,Forward
Steven Zuber,Midfielder
Pavel Kadeřábek,Defender
Kevin Akpoguma,Defender
Nico Schulz,Defender
Nadiem Amiri,Midfielder
Stefan Posch,Defender
Dennis Geiger,Midfielder
Oliver Baumann,Goalkeeper
Felix Passlack,Defender
Robert Žulj,Midfielder
Eugen Polański,Midfielder
Phillipp Ochs,Midfielder
Ermin Bičakčić,Defender
Lukas Rupp,Midfielder
