Player,role
Alexander Meier,Forward
Jetro Willems,Defender
David Abraham,Defender
Omar Mascarell,Midfielder
Marius Wolf,Defender
Ante Rebić,Forward
Sébastien Haller,Forward
Makoto Hasebe,Defender
Carlos Salcedo,Defender
Timothy Chandler,Midfielder
Marco Russ,Defender
Simon Falette,Defender
Marco Fabián,Midfielder
Danny da Costa,Midfielder
Danny Blum,Forward
Jonathan de Guzmán,Midfielder
Marc Stendera,Midfielder
Taleb Tawatha,Defender
Kevin-Prince Boateng,Midfielder
Mijat Gaćinović,Midfielder
Luka Jović,Forward
Lukáš Hrádecký,Goalkeeper
Gelson Fernandes,Midfielder
Daichi Kamada,Midfielder
Aymen Barkok,Midfielder
Slobodan Medojević,Midfielder
Branimir Hrgota,Forward
Marijan Ćavar,Midfielder
