Player,role
Nils Petersen,Forward
Nicolas Höfler,Midfielder
Pascal Stenzel,Defender
Christian Günter,Defender
Amir Abrashi,Midfielder
Tim Kleindienst,Forward
Manuel Gulde,Defender
Vincent Sierro,Midfielder
Yoric Ravet,Midfielder
Robin Koch,Defender
Julian Schuster,Defender
Janik Haberer,Midfielder
Marc-Oliver Kempf,Defender
Lukas Kübler,Defender
Çağlar Söyüncü,Defender
Alexander Schwolow,Goalkeeper
Marco Terrazzino,Midfielder
Florian Niederlechner,Forward
Bartosz Kapustka,Midfielder
Mike Frantz,Midfielder
Lucas Höler,Forward
Karim Guédé,Forward
Philipp Lienhart,Defender
Rafał Gikiewicz,Goalkeeper
Ryan Kent,Midfielder
Caleb Stanko,Midfielder
Florian Kath,Midfielder
Mohamed Dräger,Defender
Onur Bulut,Defender
