Player,role
Ignacio Camacho,Midfielder
John Brooks,Defender
Daniel Didavi,Midfielder
Josuha Guilavogui,Midfielder
Robin Knoche,Defender
William,Midfielder
Admir Mehmedi,Midfielder
Koen Casteels,Goalkeeper
Paul Jaeckel,Defender
Paul Verhaegh,Defender
Maximilian Arnold,Midfielder
Yannick Gerhardt,Midfielder
Josip Brekalo,Forward
Felix Uduokhai,Defender
Jeffrey Bruma,Defender
Yunus Malli,Midfielder
Marcel Tisserand,Defender
Divock Origi,Forward
Jakub Błaszczykowski,Midfielder
Riechedly Bazoer,Defender
Paul-Georges Ntep,Midfielder
Gian-Luca Itter,Defender
Landry Dimata,Forward
Victor Osimhen,Forward
Sebastian Jung,Defender
Renato Steffen,Midfielder
Elvis Rexhbeçaj,Midfielder
Kaylen Hinds,Forward
