Player,role
Naldo,Defender
Daniel Caligiuri,Midfielder
Thilo Kehrer,Defender
Bastian Oczipka,Defender
Matija Nastasić,Defender
Leon Goretzka,Midfielder
Yevhen Konoplyanka,Forward
Benjamin Stambouli,Midfielder
Max Meyer,Midfielder
Amine Harit,Forward
Abdul Baba Rahman,Defender
Marko Pjaca,Forward
Ralf Fährmann,Goalkeeper
Alexander Nübel,Goalkeeper
Guido Burgstaller,Forward
Franco Di Santo,Forward
Nabil Bentaleb,Midfielder
Cedric Teuchert,Forward
Weston McKennie,Midfielder
Pablo Insua,Defender
Alessandro Schöpf,Midfielder
Breel Embolo,Forward
Fabian Reese,Midfielder
