Player,role
James Rodríguez,Midfielder
Robert Lewandowski,Forward
Joshua Kimmich,Midfielder
Arturo Vidal,Midfielder
Thiago Alcântara,Midfielder
Thomas Müller,Midfielder
Jérôme Boateng,Defender
Mats Hummels,Defender
Tom Starke,Goalkeeper
Arjen Robben,Midfielder
Corentin Tolisso,Midfielder
Franck Ribéry,Midfielder
David Alaba,Defender
Rafinha,Defender
Niklas Dorsch,Midfielder
Javi Martínez,Midfielder
Kingsley Coman,Midfielder
Niklas Süle,Defender
Sandro Wagner,Forward
Lars Lukas Mai,Defender
Sebastian Rudy,Midfielder
Manuel Neuer,Goalkeeper
Sven Ulreich,Goalkeeper
Juan Bernat,Defender
Kwasi Okyere Wriedt,Forward
Franck Evina,Forward
Meritan Shabani,Midfielder
