Player,role
Alexander Hack,Defender
Danny Latza,Midfielder
Jean-Philippe Gbamin,Midfielder
Pablo De Blasis,Midfielder
Daniel Brosinski,Midfielder
Ridle Baku,Defender
Abdou Diallo,Defender
Fabian Frei,Midfielder
Stefan Bell,Defender
René Adler,Goalkeeper
Yoshinori Muto,Forward
Emil Berggreen,Forward
Giulio Donati,Defender
Alexandru Maxim,Midfielder
Robin Quaison,Forward
Levin Öztunali,Midfielder
Florian Müller,Goalkeeper
Leon Balogun,Defender
Suat Serdar,Midfielder
Robin Zentner,Goalkeeper
Gerrit Holtmann,Forward
Nigel de Jong,Midfielder
Anthony Ujah,Forward
Viktor Fischer,Forward
Karim Onisiwo,Forward
Kenan Kodro,Forward
Jairo Samperio,Midfielder
