Player,role
Naby Keïta,Midfielder
Marcel Sabitzer,Midfielder
Marcel Halstenberg,Defender
Ademola Lookman,Forward
Kevin Kampl,Midfielder
Dayot Upamecano,Defender
Diego Demme,Midfielder
Timo Werner,Forward
Emil Forsberg,Midfielder
Lukas Klostermann,Defender
Willi Orbán,Defender
Benno Schmitz,Defender
Bernardo,Defender
Bruma,Forward
Jean-Kévin Augustin,Forward
Yussuf Poulsen,Forward
Marvin Compper,Defender
Stefan Ilsanker,Defender
Ibrahima Konaté,Defender
Péter Gulácsi,Goalkeeper
Dominik Kaiser,Midfielder
Konrad Laimer,Midfielder
Yvon Mvogo,Goalkeeper
