Player,role
Marco Reus,Midfielder
Maximilian Philipp,Forward
Pierre-Emerick Aubameyang,Forward
Łukasz Piszczek,Defender
Marc Bartra,Defender
Ömer Toprak,Defender
Nuri Şahin,Midfielder
Shinji Kagawa,Midfielder
Sokratis,Defender
Michy Batshuayi,Forward
Jadon Sancho,Midfielder
Mario Götze,Forward
Andriy Yarmolenko,Midfielder
Neven Subotić,Defender
Manuel Akanji,Defender
Julian Weigl,Midfielder
Mahmoud Dahoud,Midfielder
Raphaël Guerreiro,Defender
Jeremy Toljan,Defender
Andre Schürrle,Forward
Gonzalo Castro,Forward
Christian Pulišić,Forward
Roman Bürki,Goalkeeper
Marcel Schmelzer,Defender
Dan-Axel Zagadou,Defender
Alexander Isak,Forward
Roman Weidenfeller,Goalkeeper
