Player,role
Alassane Pléa,Midfielder
Marcus Thuram,Forward
Ramy Bensebaini,Defender
Denis Zakaria,Midfielder
Jonas Hofmann,Midfielder
Lars Stindl,Midfielder
Yann Sommer,Goalkeeper
Florian Neuhaus,Midfielder
Tony Jantschke,Defender
Matthias Ginter,Defender
Patrick Herrmann,Forward
Nico Elvedi,Defender
László Bénes,Midfielder
Breel Embolo,Forward
Christoph Kramer,Midfielder
Oscar Wendt,Defender
Tobias Strobl,Midfielder
Stefan Lainer,Defender
Raffael,Forward
Fabian Johnson,Midfielder
Jordan Beyer,Defender
Ibrahima Traoré,Forward
