Player,role
Paulo Otávio,Defender
Maximilian Arnold,Midfielder
Pavao Pervan,Goalkeeper
Wout Weghorst,Forward
Kevin Mbabu,Defender
Josuha Guilavogui,Midfielder
John Brooks,Defender
Renato Steffen,Midfielder
Josip Brekalo,Forward
Robin Knoche,Defender
Admir Mehmedi,Midfielder
Marin Pongračić,Defender
Marcel Tisserand,Defender
William,Midfielder
Yannick Gerhardt,Midfielder
Koen Casteels,Goalkeeper
Xaver Schlager,Midfielder
Daniel Ginczek,Forward
Jérôme Roussillon,Midfielder
Victor Sá,Midfielder
Felix Klaus,Midfielder
Lukas Nmecha,Forward
Omar Marmoush,Forward
Mamoudou Karamoko,Forward
