Player,role
Robert Lewandowski,Forward
Joshua Kimmich,Midfielder
Thomas Müller,Midfielder
Serge Gnabry,Midfielder
Thiago Alcântara,Midfielder
Philippe Coutinho,Midfielder
Alphonso Davies,Defender
Niklas Süle,Defender
David Alaba,Defender
Benjamin Pavard,Defender
Leon Goretzka,Midfielder
Manuel Neuer,Goalkeeper
Álvaro Odriozola,Defender
Kingsley Coman,Midfielder
Joshua Zirkzee,Forward
Corentin Tolisso,Midfielder
Jérôme Boateng,Defender
Ivan Perišić,Midfielder
Michaël Cuisance,Midfielder
Sven Ulreich,Goalkeeper
Javi Martínez,Midfielder
Lucas Hernández,Defender
Renato Sanches,Midfielder
Kwasi Okyere Wriedt,Forward
Sarpreet Singh,Midfielder
Chris Richards,Defender
Leon Dajaku,Midfielder
Oliver Batista Meier,Midfielder
