Player,role
Philipp Pentke,Goalkeeper
Andrej Kramarić,Forward
Robert Skov,Midfielder
Sebastian Rudy,Midfielder
Oliver Baumann,Goalkeeper
Florian Grillitsch,Defender
Pavel Kadeřábek,Defender
Munas Dabbur,Forward
Christoph Baumgartner,Midfielder
Stefan Posch,Defender
Ihlas Bebou,Forward
Ermin Bičakčić,Defender
Håvard Nordtveit,Defender
Diadié Samassékou,Midfielder
Benjamin Hübner,Defender
Dennis Geiger,Midfielder
Jürgen Locadia,Forward
Jacob Bruun Larsen,Forward
Steven Zuber,Midfielder
Kevin Akpoguma,Defender
Lucas Ribeiro,Defender
Konstantinos Stafylidis,Defender
Sargis Adamyan,Forward
Melayro Bogarde,Midfielder
Ishak Belfodil,Forward
Lukas Rupp,Midfielder
Maximilian Beier,Forward
