Player,role
Florian Kainz,Midfielder
Toni Leistner,Defender
Jhon Córdoba,Forward
Jonas Hector,Defender
Mark Uth,Midfielder
Christian Clemens,Midfielder
Louis Schaub,Midfielder
Ellyes Skhiri,Midfielder
Elvis Rexhbeçaj,Midfielder
Dominick Drexler,Midfielder
Marcel Risse,Midfielder
Kingsley Ehizibue,Defender
Birger Verstraete,Midfielder
Sebastiaan Bornauw,Defender
Rafael Czichos,Defender
Anthony Modeste,Forward
Lasse Sobiech,Defender
Ismail Jakobs,Defender
Jorge Meré,Defender
Simon Terodde,Forward
Matthias Bader,Midfielder
Kingsley Schindler,Midfielder
Timo Horn,Goalkeeper
Noah Katterbach,Defender
Benno Schmitz,Defender
Marco Höger,Midfielder
Jan Thielmann,Midfielder
Darko Churlinov,Midfielder
Tim Lemperle,Forward
