Player,role
Kerem Demirbay,Midfielder
Kevin Volland,Forward
Exequiel Palacios,Midfielder
Nadiem Amiri,Midfielder
Lars Bender,Defender
Sven Bender,Defender
Kai Havertz,Forward
Jonathan Tah,Defender
Lucas Alario,Forward
Lukáš Hrádecký,Goalkeeper
Wendell,Defender
Paulinho,Forward
Mitchell Weiser,Midfielder
Moussa Diaby,Midfielder
Leon Bailey,Forward
Karim Bellarabi,Midfielder
Charles Aránguiz,Midfielder
Julian Baumgartlinger,Midfielder
Edmond Tapsoba,Defender
Daley Sinkgraven,Defender
Florian Wirtz,Midfielder
Aleksandar Dragović,Defender
Panagiotis Retsos,Defender
