Player,role
Timo Werner,Forward
Marcel Sabitzer,Midfielder
Christopher Nkunku,Forward
Angeliño,Midfielder
Marcel Halstenberg,Defender
Nordi Mukiele,Defender
Kevin Kampl,Midfielder
Dayot Upamecano,Defender
Willi Orbán,Defender
Marcelo Saracchi,Defender
Emil Forsberg,Midfielder
Lukas Klostermann,Defender
Péter Gulácsi,Goalkeeper
Yussuf Poulsen,Forward
Patrik Schick,Forward
Ibrahima Konaté,Defender
Dani Olmo,Forward
Konrad Laimer,Midfielder
Diego Demme,Midfielder
Tyler Adams,Midfielder
Ethan Ampadu,Midfielder
Amadou Haidara,Midfielder
Tom Krauß,Midfielder
Dennis Borkowski,Forward
Ademola Lookman,Forward
Hannes Wolf,Midfielder
Yvon Mvogo,Goalkeeper
