Player,role
Ozan Kabak,Defender
Jean-Clair Todibo,Defender
Salif Sané,Defender
Omar Mascarell,Midfielder
Benjamin Stambouli,Midfielder
Suat Serdar,Midfielder
Matija Nastasić,Defender
Daniel Caligiuri,Midfielder
Bastian Oczipka,Defender
Amine Harit,Forward
Weston McKennie,Midfielder
Markus Schubert,Goalkeeper
Alexander Nübel,Goalkeeper
Benito Raman,Forward
Michael Gregoritsch,Forward
Fabian Reese,Midfielder
Timo Becker,Defender
Jonjoe Kenny,Defender
Guido Burgstaller,Forward
Ahmed Kutucu,Forward
Nassim Boujellab,Midfielder
Juan Miranda,Defender
Rabbi Matondo,Forward
Alessandro Schöpf,Midfielder
Can Bozdoğan,Midfielder
Malick Thiaw,Defender
Jonas Hofmann,Midfielder
Münir Levent Mercan,Midfielder
