Player,role
Jordan Torunarigha,Defender
Dedryck Boyata,Defender
Marvin Plattenhardt,Defender
Matheus Cunha,Forward
Maximilian Mittelstädt,Defender
Dodi Lukebakio,Forward
Peter Pekarík,Defender
Vladimír Darida,Midfielder
Karim Rekik,Defender
Marko Grujić,Midfielder
Javairô Dilrosun,Midfielder
Vedad Ibišević,Forward
Rune Jarstein,Goalkeeper
Alexander Esswein,Forward
Krzysztof Piątek,Forward
Santiago Ascacibar,Midfielder
Per Ciljan Skjelbred,Midfielder
Ondrej Duda,Midfielder
Arne Maier,Midfielder
Niklas Stark,Defender
Dennis Smarsch,Goalkeeper
Marius Wolf,Defender
Jessic Ngankam,Forward
Mathew Leckie,Midfielder
Lukas Klünter,Defender
Lazar Samardžić,Midfielder
Daishawn Redan,Forward
Salomon Kalou,Midfielder
Thomas Kraft,Goalkeeper
Pascal Köpke,Forward
