Player,role
Jadon Sancho,Midfielder
Erling Haaland,Forward
Marco Reus,Midfielder
Marcel Schmelzer,Defender
Raphaël Guerreiro,Defender
Dan-Axel Zagadou,Defender
Mats Hummels,Defender
Emre Can,Midfielder
Thorgan Hazard,Midfielder
Julian Brandt,Midfielder
Axel Witsel,Midfielder
Achraf Hakimi,Defender
Marwin Hitz,Goalkeeper
Łukasz Piszczek,Defender
Julian Weigl,Midfielder
Paco Alcácer,Forward
Manuel Akanji,Defender
Thomas Delaney,Midfielder
Mario Götze,Forward
Mahmoud Dahoud,Midfielder
Giovanni Reyna,Midfielder
Nico Schulz,Defender
Roman Bürki,Goalkeeper
Mateu Morey,Defender
Leonardo Balerdi,Defender
Tobias Raschl,Midfielder
