Player,role
Daniel Brosinski,Midfielder
Robin Quaison,Forward
Pierre Kunde,Midfielder
Robin Zentner,Goalkeeper
Karim Onisiwo,Forward
Jean-Paul Boëtius,Midfielder
Jeremiah St. Juste,Defender
Ridle Baku,Defender
Phillipp Mwene,Defender
Jeffrey Bruma,Defender
Levin Öztunali,Midfielder
Alexandru Maxim,Midfielder
Leandro Barreiro,Midfielder
Florian Müller,Goalkeeper
Moussa Niakhaté,Defender
Aarón Martín,Midfielder
Alexander Hack,Defender
Danny Latza,Midfielder
Ádám Szalai,Forward
Edimilson Fernandes,Midfielder
Jean-Philippe Mateta,Forward
Ronaël Pierre-Gabriel,Defender
Taiwo Awoniyi,Forward
Jonathan Burkardt,Forward
Dong-Won Ji,Forward
